prix_m2;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;construction_recente;type_appart;centre_ville_distance;nb_ecole_proximite_500m;nb_gare_proximite_500m;nb_supermarket_500m;nb_centrecommercial_proximite_500m;nb_hospital_500m
5600.0;2.259659;48.924277;920250000T;920250000T0106;6215;0;T2;0.42977345437785175;3;1;6;0;0
2986.06502986065;2.252437;48.928303;920250000D;920250000D0085;145;0;T3;0.6594995765784961;7;0;1;0;0
3629.5200967872015;2.240929;48.927356;92025000BR;92025000BR0272;8152;0;T4;1.1263894683588773;9;0;1;0;1
3959.2760180995474;2.246089;48.912433;92025000AR;92025000AR0098;6278;0;T3;1.2777708006653499;5;0;1;0;0
4630.769230769231;2.255366;48.929762;920250000G;920250000G0224;9614;1;T4;0.8081768450821467;3;1;0;0;0
8000.0;2.255366;48.929762;920250000G;920250000G0224;9614;1;T1;0.8081768450821467;3;1;0;0;0
4739.583333333333;2.253861;48.927309;920250000F;920250000F0014;4138;1;T5;0.5341579859215079;7;0;4;0;0
4512.830769230769;2.232628;48.915403;92025000BE;92025000BE0041;1634;1;T4;1.7835229881705787;6;0;2;1;0
3093.5808197989168;2.260147;48.933013;920250000H;920250000H0298;159;0;T3;1.2396300362462165;5;1;0;0;0
4615.724381625441;2.251287;48.917072;92025000AL;92025000AL0188;9658;0;T3;0.6483794038361681;5;0;0;0;0
4455.040871934605;2.241772;48.911085;92025000AR;92025000AR0066;1646;0;T3;1.5744027067093278;6;1;3;0;1
3993.610223642173;2.231083;48.915453;92025000BF;92025000BF0052;4115;0;T2;1.8833357203839298;4;0;2;1;0
4503.275109170306;2.249246;48.924507;92025000BJ;92025000BJ0025;8825;0;T2;0.43977738942605216;10;0;4;0;0
6368.5636856368565;2.255184;48.914501;92025000AJ;92025000AJ0183;2539;0;T1;0.8935434584101901;5;1;3;0;0
4595.379452762003;2.25553;48.922533;92025000AB;92025000AB0331;4462;0;T4;0.08025163923293602;7;1;7;0;0
3149.847094801223;2.260147;48.933013;920250000H;920250000H0298;159;0;T4;1.2396300362462165;5;1;0;0;0
6022.606382978724;2.241049;48.913884;92025000AS;92025000AS0059;3170;0;T2;1.3729671780952426;7;1;0;0;0
3776.435045317221;2.23829;48.92626;92025000BX;92025000BX0207;4628;0;T4;1.2541032830490058;6;0;1;0;1
5096.774193548387;2.257076;48.93355;920250000H;920250000H0476;3576;1;T3;1.2417223626344807;3;1;0;0;0
4918.604651162791;2.257076;48.93355;920250000H;920250000H0476;3576;1;T5;1.2417223626344807;3;1;0;0;0
5669.142857142857;2.256143;48.933553;920250000H;920250000H0481;3576;1;T3;1.233250344750608;3;1;0;0;0
5198.25918762089;2.256616;48.920706;92025000AE;92025000AE0204;5;0;T4;0.2574352918977732;7;1;6;0;0
