prix_m2;nom_commune;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;construction_recente;type_appart;centre_ville_distance;nb_ecole_proximite_500m;nb_gare_proximite_500m;nb_supermarket_500m;nb_centrecommercial_proximite_500m;nb_hospital_500m
6908.563340410474;Clichy;2.30483;48.901093;920240000Q;920240000Q0044;9645;0;T1;0.19103484585390584;11;1;13;0;1
5885.650224215246;Clichy;2.301135;48.898029;920240000P;920240000P0006;4420;0;T2;0.5997188400615616;4;1;5;0;0
7690.017016449235;Clichy;2.304317;48.904183;920240000K;920240000K0111;2510;0;T2;0.15897460108687778;13;1;11;0;0
7115.948095437421;Clichy;2.304335;48.903209;920240000K;920240000K0094;9660;0;T3;0.06171211276405646;13;1;11;0;0
6660.088801184016;Clichy;2.303785;48.900155;920240000Q;920240000Q0083;7130;0;T1;0.3067316239045902;10;1;10;0;0
8001.961538461538;Clichy;2.302096;48.900411;920240000Q;920240000Q0096;4485;0;T1;0.33767114235567336;8;2;8;0;0
7921.445950643031;Clichy;2.305935;48.897069;92024000AC;92024000AC0173;0050;0;T1;0.642746937292688;1;0;6;0;0
7270.27027027027;Clichy;2.302086;48.906192;920240000K;920240000K0043;4731;0;T2;0.42968468441601654;7;1;6;0;0
4213.178294573643;Clichy;2.309252;48.90425;920240000S;920240000S0154;7152;0;T3;0.35571103314371866;12;1;6;0;2
7622.890001854944;Clichy;2.314849;48.90189;920240000U;920240000U0044;5040;0;T3;0.7351153382734299;7;0;5;0;2
5252.918287937743;Clichy;2.314124;48.898934;920240000Y;920240000Y0128;9640;0;T3;0.8007334400677091;4;0;5;0;2
4591.570247933884;Clichy;2.30721;48.90566;920240000J;920240000J0192;0030;0;T3;0.35869093732075497;11;1;10;0;2
4276.350364963504;Clichy;2.30721;48.90566;920240000J;920240000J0192;5121;0;T4;0.35869093732075497;11;1;10;0;2
6205.782836050446;Clichy;2.309618;48.910749;920240000G;920240000G0104;3200;0;T4;0.9477045742378062;5;0;2;0;1
5910.496098925364;Clichy;2.29882;48.906143;920240000C;920240000C0031;7175;0;T4;0.5808366695152706;5;0;3;0;0
7051.971326164875;Clichy;2.307232;48.903915;920240000S;920240000S0005;9660;0;T2;0.20938935024064226;12;1;10;0;1
6772.705196697426;Clichy;2.31319;48.906733;920240000I;920240000I0001;4125;0;T2;0.7469645626964068;9;0;1;0;1
7222.451506397028;Clichy;2.298853;48.902055;920240000M;920240000M0032;3525;0;T1;0.45262911385540755;7;0;5;0;0
7792.207792207791;Clichy;2.308311;48.902223;920240000S;920240000S0020;5140;0;T4;0.25705258088997873;11;1;10;0;1
8336.90527218174;Clichy;2.299238;48.904018;920240000M;920240000M0001;3535;0;T1;0.43767731174328656;6;0;5;0;0
5548.657357679914;Clichy;2.316524;48.90007;920240000X;920240000X0104;9640;0;T1;0.9036944112766868;4;0;3;0;2
8672.58064516129;Clichy;2.299056;48.90159;920240000M;920240000M0040;9620;1;T3;0.4507910887991781;7;1;5;0;0
7815.151515151515;Clichy;2.299056;48.90159;920240000M;920240000M0040;9620;1;T4;0.4507910887991781;7;1;5;0;0
4363.183045917307;Clichy;2.314336;48.900237;920240000X;920240000X0025;9640;0;T3;0.7473056646694083;4;0;4;0;2
6888.168557536467;Clichy;2.297122;48.899728;920240000O;920240000O0003;6630;0;T1;0.6665556872126659;6;1;2;0;0
7516.666666666667;Clichy;2.30503;48.906968;920240000J;920240000J0108;3150;1;T3;0.4624953628392877;7;1;5;0;1
8052.631578947368;Clichy;2.300614;48.90294;920240000L;920240000L0019;3525;1;T3;0.3159998290322829;8;1;9;0;0
6030.150753768845;Clichy;2.299112;48.903804;920240000M;920240000M0055;3535;1;T2;0.4399026211218294;6;0;5;0;0
5525.0;Clichy;2.305243;48.907106;920240000J;920240000J0103;0025;1;T6+;0.47835889578200536;6;1;5;0;1
11709.09090909091;Clichy;2.304217;48.907192;920240000J;920240000J0117;4110;1;T3;0.4900505003095015;5;1;5;0;1
7783.753184262667;Clichy;2.302096;48.900411;920240000Q;920240000Q0096;4485;0;T2;0.33767114235567336;8;2;8;0;0
6230.823696011329;Clichy;2.305175;48.89715;92024000AD;92024000AD0009;0050;0;T2;0.6296921725028894;1;0;6;0;0
4207.789473684211;Clichy;2.309252;48.90425;920240000S;920240000S0154;7152;0;T3;0.35571103314371866;12;1;6;0;2
5291.005291005292;Clichy;2.314336;48.900237;920240000X;920240000X0025;9640;0;T2;0.7473056646694083;4;0;4;0;2
7363.333333333333;Clichy;2.301802;48.900804;920240000Q;920240000Q0098;1420;1;T2;0.3193790341693568;8;2;7;0;0
6707.12232513574;Clichy;2.295859;48.90046;920240000O;920240000O0013;7155;0;T2;0.7138419594144898;8;1;4;0;0
6671.996345363179;Clichy;2.305789;48.897202;92024000AC;92024000AC0172;0050;0;T2;0.6268795436794894;1;0;6;0;0
6443.042857142857;Clichy;2.30503;48.906968;920240000J;920240000J0108;3150;1;T4;0.4624953628392877;7;1;5;0;1
6779.9326815194745;Clichy;2.308149;48.902132;920240000S;920240000S0080;5140;0;T3;0.2484641359752472;11;1;11;0;1
5360.513401283503;Clichy;2.303785;48.900155;920240000Q;920240000Q0083;7130;0;T1;0.3067316239045902;10;1;10;0;0
7857.61957730812;Clichy;2.301651;48.902428;920240000L;920240000L0083;7130;0;T2;0.24337490429811112;9;1;10;0;0
11011.673151750972;Clichy;2.309196;48.901635;920240000Z;920240000Z0016;4420;0;T1;0.3396487584586543;9;1;11;0;1
4333.535660091046;Clichy;2.309252;48.90425;920240000S;920240000S0154;7152;0;T4;0.35571103314371866;12;1;6;0;2
7151.135836810385;Clichy;2.306887;48.903291;920240000S;920240000S0135;6140;0;T2;0.1538374909637042;12;1;10;0;1
7488.855869242199;Clichy;2.307668;48.897028;92024000AC;92024000AC0182;7130;0;T2;0.6738155519350214;1;0;7;0;0
8496.73202614379;Clichy;2.314647;48.899677;920240000X;920240000X0143;3515;0;T1;0.7937181647489342;4;0;3;0;2
8499.509643674404;Clichy;2.304603;48.90321;920240000K;920240000K0095;9660;0;T3;0.05019787466091136;13;1;11;0;0
6930.384675284225;Clichy;2.309618;48.910749;920240000G;920240000G0104;3200;0;T3;0.9477045742378062;5;0;2;0;1
9000.0;Clichy;2.301364;48.900699;920240000Q;920240000Q0127;1420;1;T2;0.35079919443586993;8;2;7;0;0
7177.947598253275;Clichy;2.312094;48.899145;920240000Y;920240000Y0025;1490;0;T2;0.6654116658605571;3;0;8;0;2
6681.168427594779;Clichy;2.29882;48.906143;920240000C;920240000C0031;7175;0;T2;0.5808366695152706;5;0;3;0;0
5649.717514124293;Clichy;2.300643;48.904425;920240000L;920240000L0116;7162;0;T1;0.3613446680963103;9;1;5;0;0
7936.507936507936;Clichy;2.313712;48.90214;920240000Z;920240000Z0147;4430;0;T2;0.6488928965000781;7;0;7;0;2
7287.03386931235;Clichy;2.304464;48.89783;92024000AD;92024000AD0006;0050;0;T1;0.5547995744979038;4;0;6;0;0
9902.71021542738;Clichy;2.304535;48.89962;920240000Q;920240000Q0207;0650;0;T1;0.3558502387212602;9;1;10;0;0
7435.429167753718;Clichy;2.315474;48.903292;920240000U;920240000U0096;6110;0;T2;0.7756307685547238;7;0;4;0;2
5704.697986577181;Clichy;2.302096;48.900411;920240000Q;920240000Q0096;4485;0;T1;0.33767114235567336;8;2;8;0;0
5717.255717255718;Clichy;2.30568;48.90256;920240000R;920240000R0022;2510;0;T1;0.062279624783294615;13;1;10;0;1
4118.242343541944;Clichy;2.309252;48.90425;920240000S;920240000S0154;7152;0;T4;0.35571103314371866;12;1;6;0;2
6396.063960639606;Clichy;2.31545;48.901649;920240000U;920240000U0050;6135;0;T2;0.7827460819597666;6;0;5;0;2
8346.107988417645;Clichy;2.305069;48.902342;920240000R;920240000R0024;1436;0;T3;0.053162085145475754;12;1;10;0;1
7813.758659577896;Clichy;2.301336;48.903841;920240000L;920240000L0135;0090;0;T3;0.28666968996355635;9;1;8;0;0
7000.0;Clichy;2.303785;48.900155;920240000Q;920240000Q0083;7130;0;T1;0.3067316239045902;10;1;10;0;0
8634.222919937205;Clichy;2.309617;48.900251;920240000Z;920240000Z0260;0620;0;T1;0.4467392329910109;9;1;9;0;2
6634.789351253554;Clichy;2.30552;48.899834;920240000Q;920240000Q0178;4420;0;T2;0.3338460505821202;9;1;11;0;0
6357.801845166467;Clichy;2.308538;48.900933;920240000Z;920240000Z0025;4420;0;T3;0.3375409625097566;8;1;12;0;1
7367.387033398822;Clichy;2.304993;48.901177;920240000Q;920240000Q0045;4730;0;T2;0.18165966567804143;11;1;13;0;1
7131.201044386423;Clichy;2.301336;48.903841;920240000L;920240000L0135;0090;0;T3;0.28666968996355635;9;1;8;0;0
8052.380952380952;Clichy;2.301364;48.900699;920240000Q;920240000Q0127;1420;1;T4;0.35079919443586993;8;2;7;0;0
4042.200557103064;Clichy;2.304539;48.905751;920240000K;920240000K0257;6140;0;T4;0.32827322718392005;11;1;10;0;0
8149.140433132396;Clichy;2.299451;48.90397;920240000M;920240000M0052;3535;0;T2;0.4211772202408572;7;1;5;0;0
6585.027726432532;Clichy;2.308243;48.896382;92024000AC;92024000AC0188;7130;0;T2;0.7552085869822379;1;0;5;0;0
7960.9695241489935;Clichy;2.313423;48.90336;920240000T;920240000T0036;8150;0;T3;0.6264034993879197;8;0;8;0;2
6734.939759036145;Clichy;2.30503;48.906968;920240000J;920240000J0108;3150;1;T4;0.4624953628392877;7;1;5;0;1
6644.16789706813;Clichy;2.303773;48.906746;920240000K;920240000K0009;3150;0;T3;0.4457357180187891;6;1;8;0;0
5823.358136525397;Clichy;2.309528;48.904964;920240000S;920240000S0061;9660;0;T2;0.4141627397022467;13;1;5;0;2
8577.41935483871;Clichy;2.299056;48.90159;920240000M;920240000M0040;9620;1;T3;0.4507910887991781;7;1;5;0;0
7754.340607210627;Clichy;2.313169;48.902688;920240000Z;920240000Z0063;4122;0;T2;0.604942058568089;7;0;7;0;2
6744.510282328337;Clichy;2.305935;48.897069;92024000AC;92024000AC0173;0050;0;T3;0.642746937292688;1;0;6;0;0
6785.714285714285;Clichy;2.316963;48.905628;920240000T;920240000T0334;6601;0;T2;0.9368928502962987;4;0;3;0;1
8449.117536612843;Clichy;2.313342;48.903539;920240000T;920240000T0035;8150;0;T3;0.6227707357362529;8;0;7;0;2
8695.890410958904;Clichy;2.299056;48.90159;920240000M;920240000M0040;9620;1;T4;0.4507910887991781;7;1;5;0;0
8944.723618090453;Clichy;2.298853;48.902055;920240000M;920240000M0032;3525;0;T1;0.45262911385540755;7;0;5;0;0
7981.481481481482;Clichy;2.305243;48.907106;920240000J;920240000J0103;0025;1;T3;0.47835889578200536;6;1;5;0;1
