valeur_fonciere;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;lots_surface_logement;nombre_pieces_principales;construction_recente
292000.0;2.254636;48.914403;33;391;33;53.12;3.0;0
285000.0;2.246418;48.923215;57;631;57;66.4;3.0;0
100000.0;2.237877;48.916895;46;492;46;15.2;1.0;0
305500.0;2.260521;48.923527;22;209;22;68.35;3.0;0
368600.0;2.25695;48.921854;25;270;25;63.81;1.0;0
166000.0;2.266021;48.922241;21;198;21;25.1;1.0;0
396000.0;2.255637;48.923411;25;269;25;66.35;3.0;0
395000.0;2.248984;48.918766;38;442;38;50.85;2.0;0
248000.0;2.257306;48.917849;30;337;30;36.82;2.0;0
307000.0;2.226171;48.915304;68;691;68;81.59;4.0;0
241000.0;2.25463;48.925703;4;34;4;41.83;3.0;0
340434.0;2.240846;48.92378;58;642;58;79.9;4.0;1
138768.0;2.269419;48.932415;12;114;12;29.0;1.0;1
291000.0;2.25553;48.922533;25;268;25;64.78;3.0;0
292322.0;2.255366;48.929762;6;82;6;43.0;2.0;1
237000.0;2.270662;48.929575;14;118;14;48.0;3.0;0
183550.0;2.249246;48.924507;56;611;56;32.65;2.0;0
324100.0;2.252068;48.928295;3;22;3;48.0;2.0;1
438879.0;2.241498;48.924817;58;644;58;80.0;4.0;1
379338.0;2.252587;48.932724;1;5;1;85.0;4.0;1
332464.0;2.252587;48.932724;1;5;1;67.0;3.0;1
385000.0;2.255351;48.925558;4;36;4;85.14;4.0;0
507500.0;2.253184;48.914837;33;394;33;82.0;4.0;1
337500.0;2.252068;48.928295;3;22;3;60.0;3.0;1
325815.0;2.257076;48.93355;7;90;7;69.0;3.0;1
168500.0;2.246255;48.926389;65;676;65;42.23;3.0;0
472000.0;2.258665;48.923561;25;271;25;82.0;3.0;1
435000.0;2.261605;48.92156;24;241;24;68.0;3.0;0
140000.0;2.246088;48.922762;57;640;57;28.0;1.0;0
454500.0;2.231901;48.915059;51;579;51;75.11;3.0;0
305950.0;2.254244;48.932511;1;3;1;61.4;3.0;1
416000.0;2.271349;48.927369;15;128;15;83.0;4.0;1
207600.0;2.240379;48.923023;59;650;59;55.7;3.0;0
249290.0;2.241498;48.924817;58;644;58;47.0;2.0;1
352450.2;2.241498;48.924817;58;644;58;65.0;3.0;1
225000.0;2.264897;48.928571;17;148;17;46.96;2.0;0
270000.0;2.238539;48.9097;49;554;49;52.24;3.0;0
217000.0;2.254414;48.932964;0;1;0;31.0;1.0;1
393000.0;2.231823;48.91578;52;582;52;79.0;4.0;1
90000.0;2.265332;48.929755;9;102;9;19.34;1.0;0
345100.0;2.245438;48.926059;65;678;65;67.38;3.0;0
269000.0;2.255355;48.92065;28;309;28;52.45;3.0;0
440400.0;2.253583;48.92694;5;60;5;76.78;4.0;0
435000.0;2.2494;48.912947;40;453;40;71.76;4.0;0
338950.0;2.232262;48.911353;71;700;71;64.52;3.0;0
245000.0;2.265536;48.928985;17;152;17;57.75;3.0;0
480900.0;2.254244;48.932511;1;3;1;101.6;4.0;1
268000.0;2.252068;48.928295;3;22;3;42.0;3.0;1
402587.0;2.252587;48.932724;1;5;1;84.0;4.0;1
339355.0;2.252587;48.932724;1;5;1;68.0;3.0;1
431620.0;2.255232;48.921676;28;308;28;61.79;3.0;0
268000.0;2.255366;48.929762;6;82;6;51.0;2.0;1
303000.0;2.233155;48.91434;51;575;51;73.0;3.0;1
348500.0;2.252068;48.928295;3;22;3;91.0;4.0;1
249500.0;2.253095;48.924618;4;48;4;45.0;2.0;1
314300.0;2.252068;48.928295;3;22;3;86.0;4.0;1
282000.0;2.254244;48.932511;1;3;1;47.0;2.0;1
299250.0;2.241498;48.924817;58;644;58;62.0;3.0;1
248150.0;2.253692;48.914612;33;395;33;45.82;2.0;0
285000.0;2.25553;48.922533;25;268;25;77.04;4.0;0
280000.0;2.252545;48.926706;3;20;3;62.36;4.0;0
200000.0;2.267088;48.933211;11;108;11;63.23;3.0;0
464773.0;2.252587;48.932724;1;5;1;83.0;4.0;1
322000.0;2.269419;48.932415;12;114;12;80.0;4.0;1
331000.0;2.269419;48.932415;12;114;12;80.0;4.0;1
325290.94;2.232656;48.922969;67;684;67;63.0;3.0;1
